type,pre_col,par_mean,k_mean,par_median,k_median,state,mr_kq5_pq1,mr_ktop1_pq1
1,72116.39306,72116.39306,39077.68185,53400,33000,CA,0.036124796,0.0006519903
1,119248.8325,119248.8325,50721.37696,87200,45800,CA,0.034955118,0.0014409326
1,78048.92617,78048.92617,35298.1472,66300,30700,CA,0.022545097,0.00028841553
3,47284.39193,47284.39193,25566.68099,36000,21500,CA,0.027570302,0.000066588393
1,115874.4907,115874.4907,64343.15491,91700,56500,CA,0.054279134,0.0021413737
1,82338.57437,82338.57437,37561.01928,67900,31900,CA,0.02991337,0.00075416092
1,95244.31779,95244.31779,44528.05577,77000,37800,CA,0.025767351,0.00061795162
3,54232.58464,54232.58464,23865.80078,39400,17100,CA,0.0052685547,0.00010831803
1,149972.6476,149972.6476,42977.74781,86100,31400,CA,0.017995782,0.00033882685
2,327182.7915,327182.7915,91531.37011,149900,72500,CA,0.022468021,0.0019997966
1,114345.2307,114345.2307,37890.72394,51300,28800,CA,0.043851145,0.0012788909
1,97198.35912,97198.35912,37894.20294,80900,31600,CA,0.017464565,0.00037484887
2,254753.8226,254753.8226,54995.78644,126300,46400,CA,0.025185836,0.0018967941
1,101030.3041,101030.3041,36985.47884,85900,30900,CA,0.012314454,0.00024084521
2,89041.90625,89041.90625,35757.83333,72700,27800,CA,0.016695656,0
1,87508.33915,87508.33915,38895.37012,84300,34300,CA,0.010828887,0
1,147106.3359,147106.3359,50419.07731,113700,46400,CA,0.017271277,0.000018929726
1,66043.24479,66043.24479,32970.82096,54200,28200,CA,0.023818141,0.00046899897
2,472210.5292,472210.5292,174059.0453,172600,84800,CA,0.022457635,0.0066273212
1,62990.5544,62990.5544,30411.31556,47600,25200,CA,0.023308825,0.0002470162
3,54286.0625,54286.0625,25353.24805,39600,20800,CA,0.01927687,0.000047725112
1,71812.95833,71812.95833,37623.60938,62300,32300,CA,0.033660512,0.000042436408
3,35004.68341,35004.68341,22615.28372,29600,19100,CA,0.02239546,0.00017286715
3,75764.7293,75764.7293,43138.19658,62900,41300,CA,0.032035813,0.00017118381
1,194452.1916,194452.1916,93578.78177,114700,67900,CA,0.048850957,0.0076398184
1,158390.0813,158390.0813,72099.31766,109400,61600,CA,0.044437986,0.0029225231
1,121501.6514,121501.6514,68174.46898,92100,60400,CA,0.067682147,0.0030904582
1,171784.8011,171784.8011,82856.58801,105500,65800,CA,0.055962522,0.004506941
1,102472.0094,102472.0094,59668.70069,75000,52800,CA,0.060172301,0.0009895676
1,176468.6574,176468.6574,79191.14699,111300,65300,CA,0.048327465,0.0039897105
1,192472.4304,192472.4304,71105.52185,124000,58800,CA,0.030754454,0.0017355393
1,182158.5702,182158.5702,53540.24453,115400,46100,CA,0.027699087,0.00057032809
2,98916.00026,98916.00026,56189.7318,72300,48600,CA,0.036298785,0.0011878135
2,209235.6739,209235.6739,55441.39039,108400,47700,CA,0.017173236,0
2,315023.0208,315023.0208,72549.47917,139300,61200,CA,0.023036603,5.15E-04
2,242149.4808,242149.4808,69600.16217,106900,56900,CA,0.027077734,0.00053568848
2,285910.4066,285910.4066,92409.22639,120100,63700,CA,0.039329737,0.0032740091
2,202079.9263,202079.9263,68705.45715,96500,59000,CA,0.04254083,0.00054433756
2,119919.5008,119919.5008,41389.99464,83200,32900,CA,0.011353597,0
1,95888.39963,95888.39963,36632.46611,73700,30600,CA,0.020021345,0.00047618276
1,67682.33844,67682.33844,32231.85404,62600,25200,CA,0.021405781,0.00022945742
1,60311.66406,60311.66406,31395.3418,46100,25600,CA,0.026258452,0.000040676845
1,127606.0562,127606.0562,42638.32223,91600,36700,CA,0.023581915,4.20E-04
2,293421.677,293421.677,57369.46192,132100,47600,CA,0.010913183,0
3,48385.38411,48385.38411,30488.57813,37800,26400,CA,0.017930759,0.000070393871
3,49891.94401,49891.94401,29111.49284,39500,19000,CA,0.031802882,0.00018023614
2,198170.0398,198170.0398,51710.17,98500,47900,CA,0.029580679,0.0011860904
2,106416.8122,106416.8122,45386.35046,61900,44300,CA,0.06364359,0.0000078702615
1,75045.32366,75045.32366,34299.25386,66400,28900,CA,0.022407206,0.00033757972
1,61468.37071,61468.37071,30748.12033,48700,25400,CA,0.023529511,0.0000099437348
